Title,Company,Location,Link,Job Description,Job Requirements,Experience,Salary
Python Team Lead - AI & Python Engineering,,Not available,https://wuzzuf.net/jobs/p/y9FsWhj1fMll-Python-Team-Lead---AI-Python-Engineering-Softec-Technologies-Cairo-Egypt,Not available,"7+ years of experience in Python development.Proficiency in RESTful API design and development.Familiarity with cloud platforms (e.g., AWS, Azure) and on-premise deployments.Familiarity with docker & Kubernetes.","Requirements:Technical Expertise:7+ years of experience in Python development.Proficiency in RESTful API design and development.Familiarity with cloud platforms (e.g., AWS, Azure) and on-premise deployments.Familiarity with docker & Kubernetes.Leadership Skills:Proven experience leading a technical team or mentoring junior developers.Strong decision-making skills with the ability to balance technical needs with business goals.Exceptional communication skills, capable of translating complex technical concepts for non-technical stakeholders.Problem-Solving:Adept at troubleshooting, debugging, and optimizing code for performance.Strong analytical mindset to tackle complex challengesEducation & Certifications:Bachelor’s or master’s degree in computer science, Engineering, or a related field.Relevant certifications in AI, Python, or cloud technologies are a plus. Why Join Us?Be part of a fast-paced startup building state-of-the-art data security & compliance solutions.Opportunity to work on challenging and impactful projects with a talented team.Competitive compensation, flexible working arrangements, and opportunities for career growth. If you’re passionate about AI, Python, and leading high-performing teams to solve complex data security challenges, we’d love to hear from you. Apply now to join our mission to revolutionize data security!",Salary:
Senior Python Developer,,Not available,https://wuzzuf.net/jobs/p/kx4QTsoTSbKX-Senior-Python-Developer-Softxpert-Incorporation-Alexandria-Egypt,"Job Requirements:Minimum 3 Years of experience in web development.Proficiency in Python with 1+ years of experience in Django development.Experience building and consuming RESTful APIs.Familiarity with Front-end technologies (e.g., Angular) is a big plus.Proficient in working with relational/non-relational databases like MySQL/MongoDB.Understanding of version control systems (e.g., Git).Strong problem-solving and debugging skills.Strong knowledge of clean code, SOLID principles, and design patterns.Knowledge of security best practices in web development.Strong knowledge in optimizing web application performance.Strong knowledge in database design/concurrent transactions and optimizing query performance.Preferred Qualifications:Familiarity with Code Integrations (CI), and static code analysis is a plus.Previous supervision role for a small team is a plus.","Minimum 3 Years of experience in web development.Proficiency in Python with 1+ years of experience in Django development.Experience building and consuming RESTful APIs.Familiarity with Front-end technologies (e.g., Angular) is a big plus.Proficient in working with relational/non-relational databases like MySQL/MongoDB.Understanding of version control systems (e.g., Git).Strong problem-solving and debugging skills.Strong knowledge of clean code, SOLID principles, and design patterns.Knowledge of security best practices in web development.Strong knowledge in optimizing web application performance.Strong knowledge in database design/concurrent transactions and optimizing query performance.","Job Requirements:Minimum 3 Years of experience in web development.Proficiency in Python with 1+ years of experience in Django development.Experience building and consuming RESTful APIs.Familiarity with Front-end technologies (e.g., Angular) is a big plus.Proficient in working with relational/non-relational databases like MySQL/MongoDB.Understanding of version control systems (e.g., Git).Strong problem-solving and debugging skills.Strong knowledge of clean code, SOLID principles, and design patterns.Knowledge of security best practices in web development.Strong knowledge in optimizing web application performance.Strong knowledge in database design/concurrent transactions and optimizing query performance.Preferred Qualifications:Familiarity with Code Integrations (CI), and static code analysis is a plus.Previous supervision role for a small team is a plus.",Salary:
Python Automation Engineer,,Not available,https://wuzzuf.net/jobs/p/ayajJH3Afl3R-Python-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt,Not available,Not available,"Must haveAdvanced Python:Able to write Python Class/Object using OOPs.Python concepts like decorators,Generators/Iterators,Threading,Exception Handling,Design PatternsPip and Virtual EnvironmentRobot FrameworkPackagingPoetry or uvVersion control Git or SVNPipe line: Git actions or JenkinsLinux command lineNice to haveJfrog,Appium/Selenium,Android SDKAutomotive domain experienceREST API testing/development experienceGitHub CI,Atlassian Jira, Atlassian Confluence,JFrog Artifactory,CodeBeamer ALM",Salary:
Senior Python Automation Engineer,,Not available,https://wuzzuf.net/jobs/p/kJNETgKZ7v9r-Senior-Python-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt,Not available,Not available,"Must haveAdvanced Python:Able to write Python Class/Object using OOPs.Python concepts like decoratorsGenerators/IteratorsThreadingException HandlingDesign PatternsPip and Virtual EnvironmentRobot FrameworkPackagingPoetry or uvVersion control Git or SVNPipe line: Git actions or JenkinsLinux command lineNice to haveJfrogAppium/SeleniumAndroid SDKAutomotive domain experienceREST API testing/development experienceGitHub CIAtlassian Jira, Atlassian ConfluenceJFrog ArtifactoryCodeBeamer ALM",Salary:
Python Backend Developer – AI & Chatbots,,Orient Takaful Insurance Egypt is an affiliate company of the UAE based Orient Insurance PJSC which is the market lea...,https://wuzzuf.net/jobs/p/bwni7B3ow3qc-Python-Backend-Developer-–-AI-Chatbots-OTIC-Cairo-Egypt,Not available,Not available,"What We’re Looking For:???? Strong Python skills (Django, Flask, FastAPI)???? Experience with AI/ML frameworks (TensorFlow, PyTorch, Scikit-learn)???? Hands-on experience with chatbot frameworks (Rasa, Dialogflow, GPT APIs)???? Knowledge of cloud platforms (AWS, GCP, Azure)???? Database expertise with relational databases (Oracle preferred)???? Understanding of APIs and microservices",Salary:
Value-Based Healthcare Analytics Specialist,,Not available,https://wuzzuf.net/jobs/p/C3GaYz9CfuMa-Value-Based-Healthcare-Analytics-Specialist-MEAHCO---Saudi-German-Health-Cairo-Egypt,Not available,Not available,"Technical Skills:Proficient in data analysis tools (e.g., SQL, Python, R, SAS).Experience with data visualization tools (e.g., Tableau, Power BI).Knowledge of healthcare data standards (e.g., HL7, FHIR).Familiarity with EHR systems (e.g., Intersystem).Analytical Skills:Strong ability to interpret complex healthcare data.Expertise in predictive modeling and risk stratification.Experience with statistical analysis and machine learning.Healthcare Knowledge:Deep understanding of value-based care models (e.g., ACOs, bundled payments, capitation).Knowledge of healthcare regulations and quality metrics Familiarity with population health management strategies.Education:Master’s degree in Health Informatics, Data Science, Public Health, or a related field.Bachelor’s degree in Healthcare Administration, Statistics, or Computer Science.Certifications:Certified Health Data Analyst (CHDA).Certified Professional in Healthcare Quality (CPHQ).Tableau Desktop Specialist or Power BI Certification. Experience3+ years of experience in healthcare analytics, with a focus on value-based care.Experience working with payers, providers, or accountable care organizations (ACOs).Proven track record of using data to drive cost savings and improve patient outcomes.",Salary:
Renewable Energy Engineer,,Not available,https://wuzzuf.net/jobs/p/4YaAOLdnDBef-Renewable-Energy-Engineer-Storlytics-Cairo-Egypt,Not available,Not available,"Basic QualificationsBachelor’s degree in Electrical Engineering, Power Engineering, or a related field, with a strong academic record.Experience with power system studies, including load flow, short circuit analysis, arc flash, protection, and harmonics.Experience in renewable energy system design.Proficiency in MATLAB programming.Excellent command of English, both spoken and written. Preferred QualificationsFresh graduates with outstanding academic records are encouraged to apply.Master’s degree in electrical engineering or a related field.Experience with Python programming (intermediate level).Familiarity with PV modeling and simulation tools such as PVSyst.Strong organizational, technical writing, and communication skills.Ability to work independently and collaboratively within a project team.Eagerness to learn and tackle new challenges.Thrive in fast-paced environments with a proactive mindset. About StorlyticsStorlytics, headquartered in Charlotte, North Carolina, serves clients in over 30 countries. As a leader in energy storage technology, we deliver cutting-edge software solutions that optimize the design and implementation of grid-tied energy storage systems. Our platform empowers utilities and energy storage developers to accurately model lifecycle costs and adapt to an ever-evolving energy landscape. At Storlytics, you’ll be part of a dynamic and innovative team driving meaningful change in renewable energy.",Salary:
Data Analyst Manager,,"Egypt’s #1 online recruitment platform where talent meets opportunity!

We’re on a mission to transform the hiring la...",https://wuzzuf.net/jobs/p/78pUnInNIct1-Data-Analyst-Manager-WUZZUF-Cairo-Egypt,Not available,Not available,"QualificationsBachelor's or Master's degree in Data Science, Engineering, Statistics, Computer Science, Mathematics or a related field.7-15 years of experience in data analysis, with at least 2 years in a leadership role.Strong proficiency in data analysis tools and techniques (e.g., SQL, Python, R, Tableau, Power BI).Experience working with large and complex datasets.Excellent problem-solving and analytical skills.Strong communication and interpersonal skills, with the ability to effectively collaborate with stakeholders at all levels.Experience leading and mentoring data analysis teams.Knowledge of data governance and compliance best practices.",Salary:
AI Engineer,,Not available,https://wuzzuf.net/jobs/p/iEshzfRXs8Sv-AI-Engineer-Quantanite-Cairo-Egypt,Not available,Not available,"● A Bachelor's degree in Computer Science, Software Engineering, or a related field● Minimum 5 years of IT experience including 3+ years of experience as Full stackdeveloper preferably using Python skills● 2+ years of hands-on experience in Azure Data factory, Azure Databricks / Spark(familiarity with fabric), Azure Data Lake storage (Gen1/Gen2), Azure Synapse/SQL DW.● Expertise in designing/deploying data pipeline, from data crawling, ETL, Datawarehousing, data applications on Azure.● Experienced in AI technology including: Machine Learning algorithms, NaturalLanguage Processing, Deep Learning, Image Recognition, Speech Recognition etc.● Proficient in programming languages like Python (Full Stack exposure)● Proficient in dealing with all the layers in solution; multi-channel presentation, businesslogic in middleware, data access layer, RDBMS | NO-SQL; E.g. MySQL, MongoDB,Cassendra, SQL Server DBs● Familiar with Vector DB such as: FAISS, CromaDB, PineCone, Weaveate, Feature Store● Experience in implementing and deploying applications on Azure.● Proficient in creating technical documents like Architecture views, TechnologyArchitecture blueprint and design specification.● Experienced in using tools like Rational suite, Enterprise Architect, Eclipse, and Sourcecode versioning systems like Git● Experience with different development methodologies (RUP | Scrum | XP)● Strong analytical and problem-solving skills● Excellent communication and interpersonal skills● Ability to work effectively in a fast-paced environment● Ability to lead and motivate cross-functional teams● High personal resilience● High achievement orientation● Work experience in IT Outsourcing and/or Business Process Outsourcing companies is abig plus",Salary:
IoT/PCB Lab Specialist,,Not available,https://wuzzuf.net/jobs/p/rA4Am0Wn5wDx-IoTPCB-Lab-Specialist-Cultiv-Assiut-Egypt,Not available,Not available,"Education & Experience:Bachelor's Degree in Electronics, Communications, or ComputerEngineering.0–2 years of experience in a similar role or relevant academic/technicalproject work.Technical Skills:Proficient in PCB design tools (e.g., Eagle, Proteus, Altium).Familiarity with programming languages such as C, Java, or Python.Experience in working with embedded systems and IoT devices.Hands-on experience with electronic lab tools (oscilloscopes, multimeters,power supplies, etc.).Skilled in soldering, crimping, and hardware prototyping.Soft Skills & Tools:Strong analytical and problem-solving skills.Ability to write clear and concise technical reports.Good verbal and written communication skills.Proficiency in Microsoft Office (especially Excel and Word).Ability to work independently and in team settings.Strong organizational skills and attention to detail.Passion for innovation and continuous learning.Event planning or coordination experience is a strong plus.",Salary:
IoT /PCB Lab Specialist,,Not available,https://wuzzuf.net/jobs/p/UJUrthySokIb-IoT-PCB-Lab-Specialist-Cultiv-Alexandria-Egypt,Not available,Not available,"Education & Experience:Bachelor's Degree in Electronics, Communications, or ComputerEngineering.0–2 years of experience in a similar role or relevant academic/technicalproject work.Technical Skills:Proficient in PCB design tools (e.g., Eagle, Proteus, Altium).Familiarity with programming languages such as C, Java, or Python.Experience in working with embedded systems and IoT devices.Hands-on experience with electronic lab tools (oscilloscopes, multimeters,power supplies, etc.).Skilled in soldering, crimping, and hardware prototyping.Soft Skills & Tools:Strong analytical and problem-solving skills.Ability to write clear and concise technical reports.Good verbal and written communication skills.Proficiency in Microsoft Office (especially Excel and Word).Ability to work independently and in team settings.Strong organizational skills and attention to detail.Passion for innovation and continuous learning.Event planning or coordination experience is a strong plus.",Salary:
Assembly process Engineer,,Not available,https://wuzzuf.net/jobs/p/lsHCuvkA7kNl-Assembly-process-Engineer-Groupe--Atlantic-Cairo-Egypt,Not available,Not available,"Required Skills & Qualifications:Education: Bachelor’s degree in mechanical engineering, or a related field.Experience: 1-2 years of experience in a manufacturing or production environment, particularly with hands-on involvement in process improvement and troubleshooting.Technical Skills: Solid understanding of mechanical systems, process optimization, and industrial equipment.- Familiarity with Six Sigma methodologies.Communication Skills: Strong ability to communicate effectively with both technical and non-technical personnel. Must be able to explain complex technical issues to team members and coordinate with cross-functional departments.Problem-Solving: Ability to analyze complex problems on the production line and implement efficient, practical solutions.Physical Capabilities: Ability to actively engage in physical tasks on the production floor, such as machine adjustments, and installations.Languages: perfect English skillsComputer Skills: -  Excellent knowledge of Microsoft office in mandatory - Power BI - power apps (is plus)- python (is plus)",Salary:
Frappe & ERPNext Developer,TopLine,Not available,https://wuzzuf.net/jobs/p/sW0qJDzw2Zyb-Frappe-ERPNext-Developer-Riyadh-Saudi-Arabia,Not available,Not available,Experience Needed:,Salary:
Data Scientist,,Not available,https://wuzzuf.net/jobs/p/9cSyIMzlasgg-Data-Scientist-HYVE-Technology-Consulting-Cairo-Egypt,Not available,Not available,"Proven experience as a Data Scientist or Data AnalystExperience in data miningUnderstanding of machine-learning and operations researchKnowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an assetExperience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)Analytical mind and business acumenStrong math skills (e.g. statistics, algebra)Problem-solving aptitudeExcellent communication and presentation skillsBSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred",Salary:
Data Engineer,,Not available,https://wuzzuf.net/jobs/p/bBVD1SDdlEN8-Data-Engineer-HYVE-Technology-Consulting-Cairo-Egypt,Not available,Not available,"Previous experience as a data engineer or in a similar roleTechnical expertise with data models, data mining, and segmentation techniquesKnowledge of programming languages  (e.g. Java and Python)Hands-on experience with SQL database designGreat numerical and analytical skillsDegree in Computer Science, IT, or similar field; a Master’s is a plusData engineering certification (e.g IBM Certified Data Engineer) is a plus",Salary:
